,date,HH,hab,district,location,device_type,variable,mean_of_medians,qa_flag,da_flag
12,2021-10-27,01001D,MVL,NP,Outdoor,Atmos,pm2.5,57.78260869565217,0.0,2.0
14,2021-10-27,01001D,MVL,NP,Outdoor,Atmos,rh,45.5858695652174,0.0,2.0
15,2021-10-27,01001D,MVL,NP,Outdoor,Atmos,temp,37.80217391304348,0.0,2.0
36,2021-10-27,01010D,MVL,NP,Outdoor,Atmos,pm2.5,47.18055555555556,0.0,2.0
38,2021-10-27,01010D,MVL,NP,Outdoor,Atmos,rh,47.733333333333334,0.0,2.0
39,2021-10-27,01010D,MVL,NP,Outdoor,Atmos,temp,37.71944444444445,0.0,2.0
52,2021-10-27,01049D,MVL,NP,Outdoor,Atmos,pm2.5,51.473684210526315,0.0,2.0
66,2021-10-27,01061D,MVL,NP,Outdoor,Atmos,pm2.5,67.80555555555556,0.0,2.0
68,2021-10-27,01061D,MVL,NP,Outdoor,Atmos,rh,46.80555555555556,0.0,2.0
69,2021-10-27,01061D,MVL,NP,Outdoor,Atmos,temp,37.452777777777776,0.0,2.0
82,2021-10-28,01001D,MVL,NP,Outdoor,Atmos,pm2.5,68.48958333333333,0.0,0.0
84,2021-10-28,01001D,MVL,NP,Outdoor,Atmos,rh,55.98020833333334,0.0,0.0
85,2021-10-28,01001D,MVL,NP,Outdoor,Atmos,temp,34.15208333333334,0.0,0.0
106,2021-10-28,01010D,MVL,NP,Outdoor,Atmos,pm2.5,60.604166666666664,0.0,0.0
108,2021-10-28,01010D,MVL,NP,Outdoor,Atmos,rh,60.87083333333334,0.0,0.0
109,2021-10-28,01010D,MVL,NP,Outdoor,Atmos,temp,33.25625,0.0,0.0
122,2021-10-28,01027D,MVL,NP,Outdoor,Atmos,pm2.5,58.630434782608695,0.0,1.0
124,2021-10-28,01027D,MVL,NP,Outdoor,Atmos,rh,62.56521739130435,4.0,1.0
125,2021-10-28,01027D,MVL,NP,Outdoor,Atmos,temp,36.31304347826087,0.0,1.0
138,2021-10-28,01035D,MVL,NP,Outdoor,Atmos,pm2.5,62.08695652173913,0.0,2.0
140,2021-10-28,01035D,MVL,NP,Outdoor,Atmos,rh,51.334782608695654,0.0,2.0
141,2021-10-28,01035D,MVL,NP,Outdoor,Atmos,temp,35.75978260869565,0.0,2.0
154,2021-10-28,01042D,MVL,NP,Outdoor,Atmos,pm2.5,59.81818181818182,0.0,2.0
168,2021-10-28,01049D,MVL,NP,Outdoor,Atmos,pm2.5,61.291666666666664,0.0,0.0
182,2021-10-28,01061D,MVL,NP,Outdoor,Atmos,pm2.5,95.32291666666667,0.0,0.0
184,2021-10-28,01061D,MVL,NP,Outdoor,Atmos,rh,63.04583333333334,0.0,0.0
185,2021-10-28,01061D,MVL,NP,Outdoor,Atmos,temp,33.640625,0.0,0.0
198,2021-10-29,01001D,MVL,NP,Outdoor,Atmos,pm2.5,41.854166666666664,0.0,0.0
200,2021-10-29,01001D,MVL,NP,Outdoor,Atmos,rh,63.37604166666667,0.0,0.0
201,2021-10-29,01001D,MVL,NP,Outdoor,Atmos,temp,31.7375,0.0,0.0
214,2021-10-29,01005D,MVL,NP,Outdoor,Atmos,pm2.5,59.25,0.0,5.0
